Year,Date,Amount,Description,Category,Sold By,Importance
2021,29/06/2021,198.48,"Heimvision Sunrise Alarm Clock, Smart Wake up Light Sleep Aid Digital Alarm Clock with Sunset Simulation and FM Radio, 4 Alarms /7 Alarm Sounds/Snooze/20 Brightness",Home Gadget ,Amazon.ae,High
2021,29/06/2021,39.00,"Coffee Grinder Cleaning Brush, Espresso Maker/Machine Cleaner Tool, Wood Handle & Natural Bristles Wood Dusting Espresso Brush Accessories, Coffee Brush",Coffee Acessories ,Kitchen MasterMe,
2021,29/06/2021,25.10,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Books ,Amazon.ae,Medium
2021,29/06/2021,54.99,"Coffee Tamper NEOUZA 53mm Coffee Distributor & Tamper 2 in 1,Dual Head Coffee Leveler Fits for 54mm Breville Portafilter, Adjustable Depth- Professional Espresso Hand Tampers",Coffee Acessories ,Neouza UAE,Medium
2021,29/06/2021,15.00,"Joyevic Espresso Silicone Mat,Espresso Tamper Mat,Coffee Tamp Mat Silicone Coffee Tamper Mat,",Coffee Acessories ,Amazon.ae,Medium
2021,29/06/2021,65.00,"Shoes/Sneakers Complete Care Kit- Clean, Restore, Protect and Deodorize Your Shoes",Sneaker Acessories ,Express Quality Shop ,Medium
2021,29/06/2021,59.00,"Espresso Coffee Stirrer with Holder, Stainless Steel Coffee Stirrer Needle Distributor, Needle Type Hand Tampers, 58mm 54mm 51mm (Walnut)",Coffee Acessories ,ADY_UAE,Low 
2021,29/06/2021,33.99,"Stainless Steel Money Clip, SourceTon 4 Pack Slim Wallet, Credit Card Holder, Minimalist Wallet - Silver",Wallet Accessories,Sourceton AE,Low 
2021,29/06/2021,50.00,The coolest set of 2 cortado and espresso coffee glasses,Coffee Acessories ,Lamarz Café,Low 
2021,29/06/2021,569.00,"Cougar Gaming Chair Armor One, Steel-Frame, Breathable PVC Leather, 180° Recliner System, 120Kg Weight Capacity, 2D Adjustable Arm-Rest, Steel 5-Star Base",Furniture,GamKart_Uae,Medium
2021,29/06/2021,28.00,"RoyalPolar Food Scale, Multifunction Digital Kitchen Scale High Accuracy Electronic Food Weight with Large LCD Display, Stainless Steel Platform, Ultra Slim, From 11lb/5kg up to 33lb/15kg (Black, 10)",Kitchen Acessories ,ROYAL POLAR,High
2021,30/06/2021,35.20,"SKEIDO Coffee Knock Box, Espresso Knock Box for Barista Coffee Grind Knock Box Anti-slip Espresso Dump Bin Grind Waste Bin (Black)",Coffee Acessories ,Seven-11,Medium
2021,30/06/2021,50.02,"NEXT-SHINE Digital Kitchen Scale 500 x 0.01 Gram, Pocket Size with PCS Tare Switch Weighing Units Function, Stainless Steel Platform",Kitchen Acessories ,TE TE -UAE,Medium
2021,09/07/2021,49.99,"Morkka Shot Glasses Measuring cup Liquid Heavy Glass, Espresso Shot Glass, Measurement 30ML (measuring cup 4 pcs)",Coffee Acessories ,ChampionShop,Medium
2021,15/07/2021,53.00,"MMG Adjustable Compression Knee Support Brace for Men Women - Running, Workout New Generation Size L (Pair Pack)",Fitness Acessories,Technovation FZE,High
2021,03/08/2021,45.60,"UGREEN iPhone Charging Cable 2M Nylon braided [Apple MFi Certified] Lightning Cord Compatible for New iPhone 12 mini/12/12 Pro/12 Pro Max, 11/11Pro/XS/XS Max/XR/X/ 8/8 Plus/ 7/7 plus/ 6s/6sP/ 6/6p",Phone Acessories,UGREEN GROUP LIMITED UAE,High
2021,03/08/2021,18.70,MMG Cable Clips Holder 2Pack Desktop Cable Management System Cable Organizer For Power Cords And Charging Cables - Black,Home Imporvement,Technovation FZE,Medium
2021,03/08/2021,59.00,"UGREEN iPhone Charging Cable [Apple MFi Certified] Lightning Cord compatible for New iPhone 12 mini/12/12 Pro/12 Pro Max, 11/11Pro/XS/XS Max/XR/X/ 8/8 Plus/ 7/7 plus/ 6s/6sPlus/ 6/6plus- 1M Red",Phone Acessories,UGREEN GROUP LIMITED UAE,High
2021,03/08/2021,22.05,"Prestige Measuring Jug, Clear - Pr50181",Kitchen Acessories ,Amazon.ae,High
2021,01/09/2021,69.00,"Crep Protect Spray, Multicoloured, One Size",Sneaker Acessories ,SPORTS HOUSE STORE,High
2021,10/09/2021,59.00,PEGANT USB Plug Wall Charger Power Adapter 5-in-1 Universal Outlet Extender 1 Socket Extension 3 USB-A and 1 Type-C Ports for iPhone Smartphones Tablets and more,Home Imporvement, PEGANT,Medium
2021,10/09/2021,23.99,"Professional Stainless Steel Business Card Holder Case, 3.7 x 2.3 x 0.3 inches, Silver (Silver)",Wallet Accessories,LaLaVero,Medium
2021,10/09/2021,48.35,"Old Spice Original Shower Gel For Men, 3 x 250 ml",Toiletries ,Amazon.ae,High
2021,10/09/2021,59.99,"LED Light Strip for Bedroom - JESLED 5M Bluetooth RGB LED Strip Lights Kit with Remote, Sync to Music, App Controlled Color Changing SMD 5050 Rope Light for Kitchen Room Party Home DIY Decoration…",Home Imporvement,JESLED AE Direct,Low 
2021,10/09/2021,59.00,Mumoo Bear Night Light Baby Star Projector,Home Imporvement,Amazon.ae,Low 
2021,10/09/2021,14.64,Torix 3 Meter Magic Improvement Double Sided Tape mounting Transparent Trace less Acrylic Reuse washable Waterproof Adhesive Tape 3m,Home Imporvement,Amazon.ae,Medium
2021,15/09/2021,65.00,Crep Protect - Sneaker Shields (Large) UK - 7-12.5 US - 8-13.5,Sneaker Acessories ,SPORTS HOUSE STORE,Low 
2021,15/09/2021,50.00,Crep Protect The Ultimate Shoe Freshener Pill,Sneaker Acessories ,Ameeraty,Medium
2021,15/09/2021,320.49,"VASAGLE ALINRU Baker’s Rack with Shelves, Kitchen Shelf with Wire Basket, 6 S-Hooks, Microwave Oven Stand, Utility Storage for Spices, Pots, and Pans, Rustic Brown and Black KKS35X",Coffee Acessories ,Amazon.ae,High
2021,15/09/2021,9.00,"2 in 1 Sponge Rack Shelf Soap Detergent Dispenser Pump, Large Capacity with Sponge, 1 Hand Operation",Kitchen Acessories ,Amazon.ae,Medium
2021,15/09/2021,46.99,"LENCENT 2Pcs World to UK Travel Adapter, Visitor from USA/Europe/China/Australia to 3 Pin UK Adapter Plug [USA to UK Adapter/EU to UK adapter]",Gadget Acessories,LENCENT UAE,Medium
2021,15/09/2021,29.90,Small size Horse hair shoe polishing shoe cleaning brush,Sneaker Acessories ,ShoeTree⭐️⭐️⭐️⭐️⭐️,High
2021,15/09/2021,50.00,"LED Strip Connector Kit for 5050 10mm 4Pin,Includes 8 Types of Solderless LED Strip Accessories,Provides Most Parts for DIY",Home Imporvement,ZPT Electronics Trading LLC - Dubai,Low 
2021,20/09/2021,46.00,"Ikea GLUFSA Book-end Holder, Stainless Steel - Pack of 2",Home Imporvement," Dubai-Store, UAE",Medium
2021,20/09/2021,25.00,Kiwi Shoe Polish Black 50ml,Sneaker Acessories ,RelianceBooks UAE,High
2021,20/09/2021,15.00,Asmaco Spray Paint Brown,Home Imporvement,HASANAT WEBSTORE,Medium
2021,20/09/2021,11.30,Pledge Original Furniture Polish - 300 ml,Home Imporvement,Amazon.ae,Medium
2021,20/09/2021,16.00,"Brasso Multi-purpose Metal Polish Brass, Copper, Stainless Steel Cleaner Liquid 200 Ml",Home Imporvement,SuperStore ME,Medium
2021,20/09/2021,65.00,"Nexillumi LED Strip Lights TV LED BackLight RGB LED Strip USB Powered for 24 Inch-60 Inch TV,Mirror,PC, APP Control Sync to Music, Bias Lighting, 5050 RGB Waterproof IP65 for Android iOS",Home Imporvement,DXB_Home_Automation_store ⭐️⭐️⭐️⭐️⭐️,Low 
2021,20/09/2021,33.99,Universal Splash Filter Faucet 720 Degrees Big Angle Aerator Kitchen Tap Water Saving Nozzle er Bathroom Basin Lengthen Extender,Home Imporvement,colordday,Medium
2021,01/10/2021,78.99,PATIOSNAP Universal Power Strips 3 Way Outlets 6 USB Plug Ports Surge Protection Power Socket Switch Portable Charger with 2M Wall Plug Adapter Extension Cord with Fuse and Shutter Extension Lead,Home Gadget ,cemeon ya,High
2021,01/10/2021,28.50,"15 Pcs Large Travel Storage Shoe Bags, Waterproof Shoe Bag for Gym,Travel, Portable Shoe Pouch Organizer Non-Woven Fabric with Drawstring for Men and Women (Gray - 15pcs Large)",Sneaker Acessories , YUANGAOSHOW GROUP LIMITED UAE,High
2021,01/10/201,65.00,"Crep Protect - Mark On Midsole Custom Pen - White Bullet Tip 4 mm - Sneaker Shoes Whitening Marker Pen old white shoe repair قلم تبييض الأحذية الرياضية من ماركة""كريب بروتيكت"" البريطانية – قياس 4 مم.",Sneaker Acessories ,SPORTS HOUSE STORE,Medium
2021,01/10/201,42.40,"UGREEN Lightning to 3.5 mm Cable Apple Mfi Certified 3.5 mm Headphone Jack Adapter Male Aux Stereo Audio Cable Compatible with iPhone 13 Pro/13 Pro Max/13/13 mini, New ipad 9/ iPhone 11 Pro- 1Meter",Phone Acessories,UGREEN GROUP LIMITED UAE,High
2021,09/10/2021,60.00,"GAT Sport Essentials Series CLA 1250, 90 Softgel",Supplements ,JNK Nutrition,High
2021,09/10/2021,110.00,Optimum Nutrition Opti-Men 150 Tabs,Supplements ,JNK Nutrition,High
2021,09/10/2021,10.00,"Asmaco Spray Paint, Black, Asmaco009",Home Imporvement,Amazon.ae,High
2021,09/10/2021,65.00,"Muscletech Hydroxycut Hardcore Next Gen Dietary Supplement, 100 Capsules",Supplements ,ADVANCE NUTRITION,High
2021,16/10/2021,26.07,"6PCS Aluminum Carabiner Clips D Shape Locking Buckle Hooks for Keychain Bottle Bulk, Heavy Duty Caribeaners for Camping, Hiking, Outdoor and Gym etc, Small Carabiners for Dog Leash and Harness",Miscellaneous,LuQiaoGongChengYou,Low 
2021,16/10/2021,65.00,"Lipo 6 Waist Trimmer Exercise Fitness Belt for Men & Women, One Size Fits Most, Waist Trainer for Weight Loss",Fitness Acessories,ADVANCE NUTRITION,High
2021,16/10/2021,99.00,"Nutrex research Lipo 6 Defining Gel with Topisorb Fast-Acting Technology, 0.2kg",Fitness Acessories,ADVANCE NUTRITION,High
2021,18/10/2021,89.36,NOW Sports Triple Strength L-Carnitine 3000 mg - 16 Fl oz (473 ml),Supplements ,Amazon.ae,High
2021,05/11/2021,29.00,"UGREEN Micro USB Cable Nylon Braided Fast Quick Charger Cable USB to Micro USB 2.0 Android Charging Cord compatible for Galaxy S7 S6, Note, LG, Nexus, Nokia, PS4, Controller - Black 2Meter",Phone Acessories,UGREEN GROUP LIMITED UAE,Medium
2021,05/11/2021,61.00,"UGREEN PD Fast Charging Cable [MFi Certified] USB C to Lightning Cord Quick Data Sync Braided 90 Degree Compatible for iPhone 12 mini/12/12 Pro, 13 Pro/13 Pro Max/13/13 mini, New ipad 9, 11/11Pro - 2M",Phone Acessories,UGREEN GROUP LIMITED UAE,Medium
2021,05/11/2021,24.65,UGREEN Screen Protector 2 Pack Compatible for iPhone 11 Pro/X/XS 5.8 Inch Tempered Glass with iPhone 11 ProX/XS Screen Protector Anti-Scratch with Alignment Frame Sensitive Touch Scratch Resistant,Phone Acessories,UGREEN GROUP LIMITED UAE,Medium
2021,05/11/2021,21.25,"UGREEN Clear Case Compatible for iPhone 11 Pro(2019), Slim Shockproof Bumper Case with Soft TPU Protective Phone Cover Compatible for Apple iPhone 11 5.8'', Anti-Scratch, Transparent - Midnight Green",Phone Acessories,UGREEN GROUP LIMITED UAE,Medium
2021,09/11/2021,44.99,Cantu Sensitive Scalp Hypoallergenic Shampoo 240ml/227g,Toiletries ,Padimu,Low 
2021,16/11/2021,20.00,Portable 7Day Weekly Pill Medicine Box Storage Holder Tablet Organizer Container Case,Gifts ,merry711,Low 
2021,16/11/2021,23.77,"7 Days Pill Storage Medicine Box Organizer - 4 Line, Multicolor",Gifts ,merry711,Low 
2021,24/11/2021,176.24,"Junlan Sauna Suit for Mens Sweat Jacket Sauna Pants Gym Workout Sweat Suits for Men (Black Tops and Pants, X-Large)",Fitness Acessories,Amazon US,Medium
2021,24/11/2021,36.64,Listerine Cool Mint Mouthwash - Pack of 3 Bottles (3 x 500 ml),Toiletries ,Amazon.ae,High
2021,24/11/2021,17.40,"Merito Original Spray Starch, 400 ml",Garments & Laundry Supplies,Amazon.ae,High
2021,24/11/2021,119.00,"POSICHE Tactical Backpack, Hiking Daypacks, Molle Assault Military Army Camping Rucksack Pack Waterproof 45L with USA Flag Patch, 3 Day Pack",Wallet Accessories,SanDianJin,Medium
2021,26/11/2024,110.00,"NEOUZA 54mm Bottomless Portafilter for Breville Coffee Espresso Machine 870/875/878/880,Fillter Basket, Spoon,Tamper Mat,Brush",Coffee Acessories ,NEOUZA UAE,High
2021,26/11/2024,33.00,The Curious Barista's Guide to Coffee,Coffee Acessories ,Amazon.ae,Low 
