Year,Date,Amount,Description,Category,Sold By,Importance
2022,06/07/2022,18.11,"Organic Chia Seeds For Weight Loss By Down To Earth Foods, 100% Organic, Improves Digestive Health, Natural Black Chia seeds - 300 gms",Food Consumable ,Amazon.ae,High
2022,19/07/2022,6.65,"Natures Choice Peanut Butter Creamy, 510 gm, 20160354",Food Consumable ,Amazon.ae,Medium
2022,29/07/2022,25.00,Skyland Crossfit Jump Rope Ultra-Speed Ball Bearing Skipping Rope (Em-9332-S) (Black),Fitness Acessories,Amazon.ae,High
2022,30/07/2022,85.00,Crep Protect Crep Protect Cure Black N/A,Sneaker Acessories ,Sports Hype,High
2022,30/07/2022,53.99,"Old Spice Aluminum Free Deodorant for Men High Endurance, Pure Sport - Pack of 3",Toiletries ,Shoppers-kart_UAE,High
2022,30/07/2022,22.92,Old Spice Wolfthorn Shower Gel 250ml,Toiletries ,BK-Mart,High
2022,30/07/2022,47.00,"Sensodyne Multi Care + Whitening Toothpaste For Sensitive Teeth, Superior Whitening Action, 75Ml, Pack Of 2",Toiletries ,Amazon.ae,High
2022,30/07/2022,51.70,"
NATURE'S BOUNTY CAL.MAG.ZINC CHEL.TABS.",Supplements ,Amazon.ae,Medium
2022,30/07/2022,44.98,"Nature’s Bounty Acidophilus Probiotic, Daily Probiotic Supplement, Supports Digestive Health, 1 Pack, 120 Tablets",Supplements ,Your-Care,High
2022,30/07/2022,38.00,The Boots Company Vitamin C Brightening Cleansing Gel - 100ml,Toiletries ,CyberTrends,High
2022,08/08/2022,32.04,"Bio Balance Organic Argan Oil Conditioner, 330 Ml",Toiletries ,Amazon.ae,High
2022,08/08/2022,30.99,"Cantu Shea Butter Men's Collection Leave in Conditioner, 13 oz.",Grooming , ienjoybeauty,Medium
2022,08/08/2022,59.95,"Optimum Nutrition (ON) Omega 3 Fish Oil Softgels for Active Adults - 300 MG, 100 Softegls",Supplements ,Amazon.ae,High
2022,08/08/2022,111.02,Now Foods L-Carnitine Liquid 3000Mg 16Oz,Supplements ,Amazon.ae,High
2022,08/08/2022,79.43,"Optimum Nutrition (ON) Micronized Creatine Monohydrate Powder - Unflavored, 300 Grams, 60 Servings",Supplements ,Amazon.ae,Medium
2022,09/08/2022,80.75,"
Cosmoplast 44L Step-On Waste Bin With Pedal, Pearl Blue",Home Imporvement,Amazon.ae,High
2022,09/08/2022,22.90,Old Spice Wolfthorn Shower Gel 250ml,Toiletries ,BK-Mart,High
2022,09/08/2022,59.00,"Jack & Jones Men's Trunks (Pack Of 3), Burgundy, M",Garments,Amazon.ae,High
2022,14/08/2022,51.00,"
UGREEN Lightning Cable 1M[MFi Certified]USB C to iPhone Charger Cable Quick Data Sync Braided 90 Degree Fast Charging for iPhone SE 3/13 Pro/13 Pro Max/13/13 mini, New ipad 9, iPhone 12 mini/12/12 Pro",Phone Acessories,UGREEN GROUP LIMITED UAE,Medium
2022,14/08/2022,51.00,"UGREEN PD 24W Car Charger Fast Charging for iPhone 13 Dual USB Ports Car Adapter Type C Compatible with iPhone 13 Pro/13 Pro Max/13/13 mini/12 Pro Max, iPad 9,iPad mini 6,Samsung S21,Huawei Mate20,etc",Phone Acessories,UGREEN GROUP LIMITED UAE,Medium
2022,15/08/2022,33.42,Rio Daily Food For Parrots 1Kg,Pet Acessories,Amazon.ae,High
2022,15/08/2022,16.64,Hotpack Garbage Bag Hd 80X110 cm 55Gallon - 3 X 10 Bags,Cleaning Supplies ,Amazon.ae,High
2022,15/08/2022,36.90,"Dettol Lemon Antibacterialpower Floor Cleaner With 3 Times Powerful Cleaning (Kills 99.9% Of Germs), 1.8L Twin Pack",Cleaning Supplies ,Amazon.ae,High
2022,15/08/2022,65.00,"Venum Predator Mouthguard - Black/Black, One Size",BJJ Accessories,Amazon.ae,Low 
2022,29/08/2022,13.32,Hotpack Garbage Bag Hd 80X110 cm 55Gallon - 3 X 10 Bags,Cleaning Supplies ,Amazon.ae,High
2022,02/09/2022,51.25,"Cerave Sa Style Cleaner, 236 ml, 1 Stück",Toiletries ,SAMSGT,Medium
2022,04/09/2022,14.99,"[100 Cups] 4 oz. White Paper Cups- Available in 7oz, 8oz, 12oz, 16oz- Small Disposable Espresso, Qahwa, Bathroom, Mouthwash Cups",Coffee Acessories ,Amazon.ae,High
2022,08/09/2022,19.70,Thomas Clumping Cat Litter 5kg,Pet Acessories,Amazon.ae,High
2022,08/09/2022,13.72,Churu Chicken With Shrimp 56 G4 Sticks Per Pack,Pet Acessories,Amazon.ae,High
2022,08/09/2022,50.17,Beaphar Cleansing Lotion For Eye Care&Nbsp;&Ndash;&Nbsp;Cats &Amp; Dogs&Nbsp;&Ndash;&Nbsp;50 Ml,Pet Acessories,Amazon.ae,High
2022,03/10/2022,25.00,2PCS Self-adhesive Coffee Bottomless Portafilter Wall Rack 51mm/53mm/54mm/58mm Coffee Bottom Filter Holder Tools Cafe Accessories,Coffee Acessories ,HOME&HEALTH UAE,Medium
2022,15/10/2022,29.99,HYFY [50 Pcs] 16oz Plastic Cups With Lids (FLAT) And Straws Plastic Cups Disposable Plastic Cups Kids Smoothie Cup Coffee Cup Cold Drinks Slushie Cup,Coffee Acessories ,HYFY-AE,Medium
2022,25/11/2022,29.99,"
Espresso Puck Screen 53.5mm, Coffee Filter Mesh Plate for Portafilter Basket 54mm",Coffee Acessories ,CAPFEI-AE,Low 
2022,25/11/2022,80.00,RIO Daily Food For Parrots 3kg,Pet Acessories, Red Lemon Retail,High
2022,10/12/2022,43.87,"Sensodyne Multi Care + Whitening Toothpaste For Sensitive Teeth, Superior Whitening Action, 75Ml, Pack Of 2",Toiletries ,Amazon.ae,High
2022,10/12/2022,19.99,"Professional Stainless Steel Business Card Holder Case, 3.7 x 2.3 x 0.3 inches, Silver (Silver)",Wallet Accessories,BASIC MODELS,Medium
2022,10/12/2022,16.64,Hotpack Garbage Bag Hd 80X110 cm 55Gallon - 3 X 10 Bags,Cleaning Supplies ,Amazon.ae,High
2022,10/12/2022,28.86,"Oral B Pro-Expert Pulsar Toothbrush, Multi Colour, Assorted, 35 Medium",Toiletries ,Amazon.ae,High
2022,23/12/2022,12.00,"Down To Earth Organic Couscous; Healthier Couscous Medium Grain, Whole Foods Organic Couscous White 500g",Food Consumable ,Down To Earth Organic,Medium
2022,23/12/2022,11.75,MAXI REGISTER BOOK A4 2QR 60GSM 96 SHEETS,Stationary ,Amazon.ae,High
2022,23/12/2022,46.99,"
Refillable Writing Journal Faux Leather Hardcover Notebook B5 College Ruled 408 Lined Pages Lay-Flat Personal Diary With Pen & Buckle (Black)",Stationary ,Gotain,Low 
2022,23/12/2022,67.00,"UGREEN Car Phone Holder, Car Holder for Air Vent Phone Holder Gravity Car Mobile Holder Compatible with iPhone 13/13 Mini/13Pro/13Pro Max 12 11, Galaxy S21 S20 Huawei Mate 30 Google Pixel 2 (Black)",Phone Acessories,UGREEN GROUP LIMITED UAE,High
2022,26/12/2022,35.33,MuscleTech Platinum Multi Vitamin 90ct US (RB),Supplements ,Amazon.ae,High
2022,26/12/2022,56.60,"Nature's Way Activated Charcoal Supplement, Gluten-Free, 100 Capsules (Packaging May Vary)",Supplements ,ICANLO,Low 
2022,27/12/2022,3.00,"Maxi Mesh Pen And Pencil Holder Metal Mesh Office Desk Pen Organizer Black, Pcbl",Stationary ,Amazon.ae,Medium
2022,27/12/2022,39.88,"Card Holders, Metal Mesh Business Card Holder, Card Holder for Desk, Card Holder for Business Cards, Desk Card Holder, Business Card Stand, Business Card Display, for Office, 3 Pack, (Black)",Stationary ,Sama77,Medium
2022,28/12/2022,27.99,"YISK Rubber Silicone Drink Coasters,for Coffee Mugs Cups, Prevent Furniture from Dirty Scratched in Home Kitchen Office Use(Set of 8 Pieces), Black",Coffee Acessories ,YISK Store,High
2022,28/12/2022,33.95,"Baytion Pet Grooming Brush, Cats Dogs Brushes for Long Haired & Short Hair, Supple Stainless Steel Bristles Quick Cleaning of the Brush to Remove Tangles Dead Undercoat and Dirt",Pet Acessories,Baytion AE,Medium
2022,28/12/2022,39.99,Large Water Bottle 2.5 Litre BPA-Free Drinking Big Jug for Gym Sports Black,Fitness Acessories,GEMFUL Bottle,Medium
2022,30/12/2022,114.99,Orchid M TIM Cat Litter Box with Lid (Blue),Pet Acessories,SleepHead,High
2022,30/12/2022,40.99,"S2C 28 Pcs Cat Toys Interactive Accessories - Cat Accessories For Indoor Cats, Kitten Toys, Cat Tunnel And Tent, Kitten Toys For Biting, Cat Toys For Kittens, Cat Toy Fish For Cat Lovers…",Pet Acessories,GLAD TRADING,Medium
2022,30/12/2022,33.95,"Baytion Pet Grooming Brush, Cats Dogs Brushes for Long Haired & Short Hair, Supple Stainless Steel Bristles Quick Cleaning of the Brush to Remove Tangles Dead Undercoat and Dirt",Pet Acessories,Baytion AE,High
2022,30/12/2022,27.45,PREMIFY 2Pcs Cereal Containers Set | 2.5L / 2KG Capacity Airtight Food Storage Container | BPA Free Plastic Rice Storage Bin/Dispenser + Measuring Cup & Pour Spout,Kitchen Acessories ,Premify-Uae,High
2022,30/12/2022,27.99,"Mericka - Dog and Cat Poop Bags, 255 Bags, 13 * 8.7 inches Biodegradable Pet waste bags with Dispenser, Green, Lavender Scented Leak-Proof poop Bags, Best Pet Poo bags for Dogs, Cat litter bag",Pet Acessories,Mericka,High
2022,30/12/2022,24.93,"Mumoo Bear Circular Turntable Cat Toy, Assorted Colors",Pet Acessories,Amazon.ae,Medium
2023,01/01/2023,20.00,Himalaya Soothing & Protecting Baby Wipes Alcohol & Paraben Free for Sensitive Skin - 224 Wipes,Pet Acessories,Amazon.ae,Medium
2023,01/01/2023,30.45,"Playgro Bath Duckie Family Fully Sealed, Pg0187479",Pet Acessories,Amazon.ae,Low 
2023,01/01/2023,21.32,"Bio Balance Organic Aloe Vera Shampoo, 330 Ml",Toiletries ,Amazon.ae,High
2023,01/01/2023,16.80,Table Tennis Balls 3-Star 40+ Sport Ping Pong Balls 6 Pack High-Performance ABS Training Balls Ultimate Durability for Indoor Outdoor Ping Pong Tables Competitions Games-White,Pet Acessories,shengyiwei,Low 
2023,03/01/2023,56.00,"Nature's Way Activated Charcoal Supplement, Gluten-Free, 100 Capsules (Packaging May Vary)",Supplements ,ICANLO,Medium
2023,03/01/2023,75.99,"ZOBER High-Grade Wooden Pants Hanger - 10pk Suit Hanger with Metal Clips, for Skirts ZO-W201",Garments & Laundry Supplies,ApparelPoint,Medium
2023,03/01/2023,156.00,"Xiaomi Mi 360° Home Security Camera 2K Pro Wlan Surveillance Camera (2304 X 1296 Pixels, 20 Fps, 128-Bit Aes Encryption, Night Mode, Ai Personal Detection, 2-Way Audio, Private Mode, Mi Home App)",Home Imporvement,Kingdisk-Store,High
2023,05/01/2023,40.85,"CeraVe Foaming Cleanser 236ml/8oz Daily Face, Body & Hand Wash with Niacinamide, for Normal to Oily Skin, 236 ml (Pack of 1) - Pack may vary",Toiletries ,Amazon UK,Medium
2023,05/01/2023,39.99,"MRIMAYA Cat Bed, Cat Window Perch Window Seat Suction Cups Space Saving Cat Hammock Pet Resting Seat Safety Cat Shelves - Providing All Around 360° Sunbath for Cats Weighted up to 13kg (XL)",Pet Acessories,Mrimaya,Medium
2023,05/01/2023,31.99,AGPTEK Cable Clips with Adhesive Tapes - Clear (110 Pieces),Home Imporvement,Auksas AE,Medium
2023,05/01/2023,40.95,"SKY-TOUCH Cats and Dogs Electric Drinking Water Dispenser, Hygienic and Healthy Automatic Pet Drinking Water Fountain, Blue, 6974042150761",Pet Acessories,Amazon.ae,High
2023,07/01/2023,15.99,"Lucky Charcoal Quick Ignition Charcoal and Long Lastting for Bakhoor Coal Sheesha Charcoal-hooka Coal - 33mm,80 Pieces",Oudh & Oudh Accessories ,Amazon.ae,Medium
2023,07/01/2023,157.70,Ajmal Perfumes Dakhoon Liwa,Oudh & Oudh Accessories ,Amazon.ae,Medium
2023,12/01/2023,19.99,"Cat Nail Clippers Baytion Pet Nail Clippers for small animals,Cat Claw Cutters Scissors for Guinea Pigs, Birds, Puppies, Kittens, Gerbils, Hamsters and Rabbits (Cat Nail Clipper)",Pet Acessories,Baytion AE,High
2023,12/01/2023,34.40,"UGREEN iPhone Charger Cable 1M[MFi Certified] USB C to Lightning Cable Fast Charging Power Delivery PD 20W iPhone Cable for iPhone 14/14 Pro/14 Plus/14 Pro Max, iPad Pro, iPhone 8-13 All Series",Phone Acessories,UGREEN GROUP LIMITED UAE,High
2023,12/01/2023,51.00,"UGREEN iPhone Charger Type C PD 20W Fast USB C Charger iPhone Fast Charger Head Type-C Charger Plug Universal Travel Adapter USB-C Plug Compatible for iPhone 14 Pro Max/14 Pro/14 Plus/14/13/12/11,etc",Phone Acessories,UGREEN GROUP LIMITED UAE,High
2023,12/01/2023,16.64,Hotpack Garbage Bag Hd 80X110 cm 55Gallon - 3 X 10 Bags,Cleaning Supplies ,Amazon.ae,High
2023,19/01/2023,25.45,Arm & Hammer Cat Litter Deodorizer 30 oz,Pet Acessories,Amazon US,High
2023,21/01/2023,14.90,"Dettol Original Anti-Bacterial Surface Disinfectant Liquid Trigger, 500 Ml",Cleaning Supplies ,Amazon.ae,High
2023,21/01/2023,7.60,Scotch Brite Heavy Duty Nailsaver 3pcs,Cleaning Supplies ,Amazon.ae,High
2023,21/01/2023,37.70,"Valuxe Lunch Box Ice Packs Environment Protection, Healthy, BPA-Free Reusable, Refreshable, Keep Foods and Drinks Chill, Quick Freeze Meal in Cooler Lunch Bag Picnic, Camping Outdoor (6 PCS Set)",Kitchen Supplies ,bitzNpcs Store,High
2023,21/01/2023,31.99,"Cat Water Fountain Filters, 5-Packs Pet Water Dispenser Filter With Triple Filtration System, Pet Fountain Carbon Filters Compatible with 3L Automatic Pet Fountain",Pet Acessories,XBD UAE Store,High
2023,22/01/2023,6.99,Fun Indispensable Biodegradable Sandwich Zipper Bags - 18.3 X 23.5 Cms - Pack Of 50,Kitchen Supplies ,Amazon.ae,High
2023,23/01/2023,21.32,"Bio Balance Organic Aloe Vera Shampoo, 330 Ml",Toiletries ,Amazon.ae,High
2023,23/01/2023,27.12,"Earth Goods Organic Gluten-Free Granola Mix, Non-gmo, Gluten-Free, No Added Sugar 340g",Food Consumable ,Amazon.ae,Medium
2023,23/01/2023,48.71,Rio Daily Food For Parrots 1Kg,Pet Acessories,Amazon.ae,High
2023,23/01/2023,26.00,"10 REUsable Food Storage Bags，REUsable Fruit And Vegetable Sandwich Bag，Preserving Food Container，Peva Food Bag，Food Storage Set，For Cooking, Lunch, Snack, Sous Vide, Baby Food Prep（2L+6M+2S)",Kitchen Supplies ,SX-STORE,Low 
2023,26/01/2023,19.99,"Cat Collar Breakaway BowTie and Bell with Adjustable collar Bell, Safe Durable, Removable BowTie, Great for kittens, cats, and small dogs (Brown)",Pet Acessories,MokeyPaw,Low 
2023,28/01/2023,16.64,Hotpack Garbage Bag Hd 80X110 cm 55Gallon - 3 X 10 Bags,Cleaning Supplies ,Amazon.ae,High
2023,29/01/2023,14.98,Hotpack Garbage Bag Hd 80X110 cm 55Gallon - 3 X 10 Bags,Cleaning Supplies ,Amazon.ae,High
2023,31/01/2023,60.56,"Electronic Coffee Scale, 3KG Electronic Scale High Accuracy High Temperature Resistance Rechargeable 3 Units for Home for Vegetables",Coffee Acessories ,SmartLife-Elec,High
2023,31/01/2023,279.00,WellToBe Automatic Cat Feeder WiFi Enabled 2.4G Smart Pet Feeder,Pet Acessories, HLZZUS,High
2023,31/01/2023,119.00,"Beauenty Pet Carrier Cat Carriers Travel Kennel Crate, Airline Approved Kitty Travel Cage ,Plastic Lightweight and Safe to Carry for for Indoor Oudoor Car Small Kitten Puppy Dog Sleeping (Grey)",Pet Acessories,Unt_uae,High
2023,31/01/2023,9.00,Dog Training Clicker Click Button Trainer Pet Cat Puppy Obedience Aid Wrist Black,Pet Acessories,X-MINE,Low 
2023,02/02/2023,19.50,"Fine Super Towel Pro, Highly Absorbent, Sterilized & Half Perforated Kitchen Paper Towel, 3 Plies,Pack Of 6 Rolls",Cleaning Supplies ,Amazon.ae,High
2023,02/02/2023,15.00,"
Kitcat Breath Bites Beef Flavor, Green, 60G",Pet Acessories,Amazon.ae,Low 
2023,03/02/2023,29.00,"Good Vibes, Good Life: How Self-Love Is The Key To Unlocking Your Greatness: The #1 Sunday Times Bestsellerq",Books ,TheBookStore-ME,medium
2023,03/02/2023,26.65,"Facial Tissue 130 Sheets X 2 Ply, Bundle Of 7 + 3 Pack Free- Fine® Classic Variety Sterilized Tissues For Germ Protection.",Cleaning Supplies ,Amazon.ae,High
2023,05/02/2023,19.48,Food Storage Boxes With Lids Freezer Safe Volwco 3 Pcs 4.7L Large Plastic Kitchen Refrigerator Stackable Food Fruit Storage Containers With Handle,Kitchen Acessories ,Amazon.ae,High
2023,06/02/2023,17.14,"Knife Sharpener for Sharpening and Polishing Kitchen Knives, Including Straight Knives, Household Knives and Chef's Choice Knives. Easy Manual Sharpening. مبراة سكينة مطبخ",Kitchen Acessories ,SunPrint,medium
2023,11/02/2023,55.00,"Womdee 65W USB-C Laptop Charger,USB C Charger Power Adapter for Lenovo ThinkPad Dell XPS, HP EliteBook Yoga Chromebook Dell Xps ASUS ZenBook Chromebook Tablets Smartphone",Gadget Acessories,NuSense-Womdee,High
2023,11/02/2023,55.00,"Earth's Finest Organic Acacia Honey - 360g (Pack of 2) | Unfiltered, Unprocessed, Cold Extracted | 100% Raw, Pure & Natural",Food Consumable ,ADD 2 CART_UAE,High
2023,13/02/2023,13.41,"Miracle-Gro Indoor Plant Food 48 Spikes (62g, ‎1.91 x 16.51 x 15.24cm)",Gardening Tool & Accessories ,Amazon US,medium
2023,15/02/2023,9.42,"Alokozay 3 Ply Face Mask 50 Pieces, Black ' 50 Units",Cleaning & Hygiene Supplies ,Amazon.ae,High
2023,15/02/2023,18.98,"Ablieve 30x15CM Bar Service Mat, Non Slip Polyvinyl Chloride Bar Mat Drink Coasters Leakproof for Bar Kitchen,Black",Coffee Acessories ,EXCOAE,medium
2023,18/02/2023,16.00,"SKY-TOUCH Mouse Pad Large Leather Computer Desk Pad Office Desk Mat Extended Gaming Mouse Pad, Non-Slip Waterproof Dual-Side Use Desk Mat Protector 80cm x 40cm (Green/Silver)",Desktop Accessories ,Amazon.ae,High
2023,18/02/2023,149.00,"Babyliss Hair Curling Iron Rose Quartz wide 32mm Barrel, Advanced Ceramics Curler with Led 6temps 160c-210c Ceramic, 2.5m length cord, 3 YEAR WARANTY -C452SDE",Appliance,Amazon.ae,High
2023,18/02/2023,56.32,"
CeraVe Daily Moisturizing Lotion 12 oz",Toiletries ,SAMSGT,High
2023,21/02/2023,32.04,"Beauenty Pruning Shears,Bypass Pruner Hand Shears,Tree Secateurs,Heavy Gardening Tools Scissors/For Fruit Tree/Gardens/Flower/Hedges and Stems(c1)",Oudh & Oudh Accessories ,lucy985,High
2023,23/02/2023,15.50,"Gatsby Hair Styling Pomade Supreme Grease, 80 gm",Grooming ,Amazon.ae,High
2023,23/02/2023,16.95,"
LEE KUM KEE Chili Oil L.K.K. 207ml",Food Consumable ,Al Redha Intl Gen.Trdg LLC,Medium
2023,23/02/2023,16.95,LEE KUM KEE Chiu Chow Chilli Oil 205gm,Food Consumable ,Al Redha Intl Gen.Trdg LLC,medium
2023,23/02/2023,21.90,"Mantova, Organic Extra Virgin Olive Oil Spray, Cold Pressed, 200 ml",Food Consumable ,Amazon.ae,High
2023,23/02/2023,19.99,"Worve 4PCS Hanging Cat Toys for Indoor Cats,Interactive cat Toys for Indoor Cats ,Hanging Door Bouncing Cat Toy ,Interactive Cat huntingToys for Kitten Indoor Door Frame",Pet Acessories,KENSHIFEIROU,High
2023,23/02/2023,14.20,"Kikkoman Less Salt Soy Sauce, 250 ml",Food Consumable ,Amazon.ae,Medium
2023,25/02/2023,15.50,"Gatsby Hair Styling Pomade Supreme Grease, 80 gm",Grooming ,Amazon.ae,High
2023,02/03/2023,39.18,Rio Daily Food For Parrots 1Kg,Pet Acessories,Amazon.ae,High
2023,02/03/2023,61.30,"Higgins Vita Seed Parrot Food, 1.36 kg",Pet Acessories,Amazon.ae,High
2023,07/03/2023,23.90,Pipore Yerba Mate Red Packet Despalada Organic Original Hot and Cold Tea Gluten Free Gives Energy Improves Strength Immune System Unique Flavour (250 Grams),Food Consumable ,Ararco,medium
2023,20/03/2023,47.19,"Vet'S Best Waterless Cat Bath No Rinse Shampoo For Cat, White, 150 Ml (Pack Of 1)",Pet Acessories,Amazon.ae,Low 
2023,22/03/2023,121.95,"Royal Canin Fbn British Shorthair Kitten 2 Kg Feline Breed Nutrition Cat Food, Multicolor, 1792, British Shorthair Kitten Cat Dry Food",Pet Acessories,Amazon.ae,High
2023,31/03/2023,80.10,"Royal Canin Feline Health Nutrition Kitten Jelly, Pack of 12 x 85gm",Pet Acessories,Amazon.ae,medium
2023,31/03/2023,64.99,"Revival Rapid Rehydration Electrolytes Powder - High Strength Vitamin C, B1, B3, B5, B12 Supplement Sachet Drink, Effervescent Electrolyte Hydration (Lemon & Lime, 12 count (Pack of 1))",Supplements ,Revival Shots AE,High
2023,31/03/2023,43.00,"Arm & Hammer Cat Dental Care Dental Kit for Cats | Eliminates Bad Breath | 3 Piece Set Includes Toothpaste, Toothbrush & Fingerbrush, Tuna Flavor",Pet Acessories,Esthetica,Low 
2023,02/04/2023,14.00,Trixie Klare Kante with Beef Cat Treats - BEEF/50G,Pet Acessories,Amazon.ae,medium
2023,02/04/2023,36.90,"Listerine Mouthwash, Cool Mint Milder Taste, Pack Of 3 X 500Ml package may vary",Toiletries , Saifi General Trading®,High
2023,04/04/2023,68.50,LIGHTZER Coffee Tamper Elegance Wooden. Flat Espresso Tamper for 54mm Portafilter baskets. Stainless Steel Flat with Height Adjustable Wooden Handle. Espresso Tamper(53mm Tamper),Coffee Acessories ,MARHABAN-UAE,High
2023,08/04/2023,9.00,Trixie Premio Stick Quintett Poultry & Liver Cat Treats 5×5g,Pet Acessories,Amazon.ae,Medium
2023,08/04/2023,15.29,Trixie Premio Mini Sticks Cat Treats 50g,Pet Acessories,Amazon.ae,medium
2023,08/04/2023,13.76,Trixie Premio Stick Quintett Salmon & Trout Cat Treats 5×5g,Pet Acessories,Amazon.ae,Medium
2023,22/04/2023,39.18,Rio Daily Food For Parrots 1Kg,Pet Acessories,Amazon.ae,High
2023,22/04/2023,41.09,Earth Goods - Organic Crunchy Peanut Butter - Gluten Free and Made with Just Peanuts - All Natural and Delicious Spread - 400g,Food Consumable ,Amazon.ae,Medium
2023,25/04/2023,10.60,"India Mills Foxnuts, Phool Patasha/ Makhana, 100 gm",Food Consumable ,Amazon.ae,Low 
2023,27/04/2023,99.00,"
King C. Gillette Men’s Double Edge Safety Razor with Gillette’s Best Platinum Coated Double Edge Blades and Classic Inspired Chrome Plated Handle",Grooming ,Best_4U,High
2023,28/04/2023,18.49,Pipore Yerba Mate White Packet Despalada Organic Original Hot and Cold Tea Gluten Free Gives Energy Improves Strength Immune System Unique Flavour (250 Grams),Food Consumable ,Ararco,Medium
2023,29/04/2023,19.79,"Bio Balance Organic Aloe Vera Shampoo, 330 Ml",Toiletries ,Amazon.ae,High
2023,04/05/2023,49.00,IFAN® Pet Comb Professional 2-in-1 Dog Comb Cat Comb Remove Fleas & Knot-Open & Carding & Flying Hair Removing Tools for Long & Short Hairs Dogs & Cats (22+87 tooth),Pet Acessories, IFANae,High
2023,06/05/2023,47.00,Feather Double Edge Hi-Stainless Steel Blade 071S- pillar type 100 Pcs,Grooming ,AJOT,High
2023,06/05/2023,6.70,"Purina Dentalife Cat With Tasty Chicken, 40G, White, 12489379-1, Treat",Pet Acessories,Amazon.ae,Medium
2023,07/05/2023,129.00,"Royal Canin Fbn British Shorthair Kitten 2 Kg Feline Breed Nutrition Cat Food, Multicolor, 1792, British Shorthair Kitten Cat Dry Food",Pet Acessories,Amazon.ae,High
2023,08/05/2023,7.90,"Mumoo Bear Cat Nail Clippers Pet Nail Clippers For Small Animals, Cat Claw Cutters Scissors For Guinea Pigs, Birds, Puppies, Kittens, Gerbils, Hamsters And Rabbits, ‎Black With Red",Pet Acessories,Amazon.ae,Low 
2023,15/05/2023,75.00,RIO Daily Food for Parrots 3kg,Pet Acessories,Amazon.ae,High
2023,22/05/2023,118.00,"Ganeed Sputnik Chandelier,6 Lights Modern Pendant Light,Industrial Vintage Black Flush Mount Ceiling Light Fixtures for Dining Room Kitchen Island Bedroom",Home Imporvement,Next life-fba,High
2023,22/05/2023,10.99,"Bcleen Fabric Softener with 2X Softening Formula, Savon de Marseille, 2L '",Laundry Supplies ,Amazon.ae,High
2023,22/05/2023,54.99,"ECASA™ Revolving Spice Rack Set with 16 PCS Spice Jars, 16-Jar Countertop Spice Rack Tower Organizer with Free 16PCS Spice Labels-Kitchen Spice Tower Organizer for Countertop or Cabinet",Kitchen Acessories , LAIBA SMART STORE,High
2023,22/05/2023,15.35,"Bcleen Disinfectant Floor Cleaner Liquid, Multisurface Cleaner, Lavender 5 Ltr",Cleaning & Hygiene Supplies ,Amazon.ae,High
2023,22/05/2023,18.90,Arm & Hammer 20oz CatLitt Deodorizer,Pet Acessories,Amazon.ae,High
2023,22/05/2023,16.50,Vileda Sponge Cloth 5's,Cleaning & Hygiene Supplies ,Amazon.ae,high
2023,22/05/2023,5.75,Bcleen Window Glass & Gloss Cleaner Liquid Spray For Home And Car 700Ml,Cleaning & Hygiene Supplies ,Amazon.ae,high
2023,22/05/2023,19.75,Microfiber Cleaning Cloth - 40x40cm (Pack of8),Cleaning & Hygiene Supplies ,YQQB,high
2023,22/05/2023,13.35,"Dr. Beckmann Stainless Steel Cleaner, Removes Tough Grease Deposits Dirts on Steel Aluminium Glass Plastic, Quick Cleaning, Metal Protection, Skin Friendly - 250 ml",Laundry Supplies ,Amazon.ae,high
2023,22/05/2023,20.80,"Bcleen Dish Wash Liquid For Dishwashing, Lemon - 5L",Cleaning & Hygiene Supplies ,Amazon.ae,High
2023,22/05/2023,8.68,"Dettol Sparkling Shine Glass Cleaner, helps remove Greasy Residues, Trigger Spray Bottle, 500ml",Cleaning & Hygiene Supplies ,Amazon.ae,High
2023,22/05/2023,33.85,Earth's Finest Virgin Coconut Oil - 500ml | Cold-Pressed & Unrefined Cooking Oil | Natural Oil for Healthy Skin and Hair,Food Consumable ,ADD 2 CART_UAE,High
2023,22/05/2023,55.99,"Cosmoplast, Step-On Waste Bin With Pedal, Pearl Blue,50 Liters,IFHHLA340PB",Cleaning & Hygiene Supplies ,Amazon.ae,High
2023,23/05/2023,166.00,"
Vileda Easy Wring, Clean spin mop and bucket set with foot pedal, Telescopic Handle 85 – 123 cm, Floor mop with spinning wringer, 2in1 Microfibre mop head",Cleaning & Hygiene Supplies ,Amazon.ae,High
2023,23/05/2023,47.00,"Mind Reader Fancy Cup And Lid Holder, 4 Compartment, Black Acrylic",Coffee Acessories ,TRADE BAY LLC,High
2023,23/05/2023,49.99,"AMERTEER Kitchen Sink Caddy Sponge Holder,304 Stainless Steel Holder for Sink,Kitchen Organizer Soap Brush Dispenser,Countertop with Removable Drain Tray, Black",Cleaning & Hygiene Supplies ,Jiantes-UAE,High
2023,23/05/2023,79.99,"Chenille Home 100% Waterproof Mattress Quilted Pad Cover, Comfortable Breathable Noiseless Single Bed Topper, Hypoallergenic Protector for Old People Baby Pet Lovers(120x200)",Bedding,Chenille Home Store,High
2023,23/05/2023,49.00,"
TYCOM Bathroom Rugs Bath Mat, 50x80cm, Non-Slip Fluffy Soft Plush Microfiber Shower Carpet Rug, Machine Washable Quick Dry Ultra Shaggy Bath Mats for Tub, Bathroom and Shower-Light Blue",Home Imporvement,TyCom AMZ,High
